timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Local SST,Local Month Mean
1982-03-14 06:00:00,1982-N-1,WP,1982.0,1.0,7.1,153.0,15.0,60.0,0.7325,15.0,27.961514,28.08222,28.562027
1981-10-21 06:00:00,1982-S-2,SI,1982.0,2.0,-8.0,84.6,40.0,85.0,1.18725,25.0,27.240122,28.012896,27.828356
1982-03-18 06:00:00,1982-N-2,WP,1982.0,2.0,3.8,160.7,25.0,105.0,2.028,25.0,27.961514,29.003502,28.968107
1982-03-28 06:00:00,1982-N-3,WP,1982.0,3.0,3.5,156.6,20.0,75.0,0.7065,15.0,27.961514,28.872086,29.140408
1981-12-05 00:00:00,1982-S-4,SI,1982.0,4.0,-11.9,125.0,45.0,45.0,0.0485,-10.0,27.350914,29.079239,30.00463
1982-05-16 18:00:00,1982-N-4,WP,1982.0,4.0,10.2,135.9,25.0,105.0,1.1725,30.0,28.493408,28.631468,29.10732
1982-06-18 06:00:00,1982-N-5,WP,1982.0,5.0,9.3,148.5,15.0,75.0,0.74825,15.0,27.91884,28.532417,29.142859
1981-12-29 00:00:00,1982-S-7,SI,1982.0,7.0,-9.5,78.8,20.0,45.0,0.28675,10.0,27.350914,28.143715,28.357521
1982-06-29 06:00:00,1982-N-7,WP,1982.0,7.0,21.7,131.7,35.0,50.0,0.18225,10.0,27.91884,28.231705,28.769781
1982-01-06 00:00:00,1982-S-8,SI,1982.0,8.0,-12.7,102.9,20.0,120.0,3.34775,20.0,27.394754,27.804052,27.938084
1982-07-02 00:00:00,1982-N-8,WP,1982.0,8.0,24.3,123.3,35.0,55.0,0.16875,20.0,27.198923,28.30376,28.816381
1982-07-12 12:00:00,1982-N-9,WP,1982.0,9.0,11.8,132.6,25.0,55.0,0.34675,20.0,27.198923,28.597403,29.275108
1982-01-13 06:00:00,1982-S-10,SI,1982.0,10.0,-13.0,114.1,30.0,50.0,0.3615,10.0,27.394754,27.682053,28.768732
1982-07-21 12:00:00,1982-N-10,WP,1982.0,10.0,11.1,147.0,25.0,120.0,2.3135,25.0,27.198923,28.503325,29.196634
1982-01-14 18:00:00,1982-S-11,SI,1982.0,11.0,-11.7,132.3,25.0,40.0,0.165,10.0,27.394754,30.1389,29.752323
1982-07-22 00:00:00,1982-N-11,WP,1982.0,11.0,11.1,163.8,25.0,140.0,3.55175,35.0,27.198923,28.578772,28.699188
1982-01-18 18:00:00,1982-S-12,SI,1982.0,12.0,-11.9,106.7,50.0,50.0,0.19325,0.0,27.394754,27.89101,28.309776
1982-08-04 12:00:00,1982-N-12,WP,1982.0,12.0,19.8,130.9,20.0,125.0,2.14875,45.0,26.986732,28.316607,29.19602
