,Basin,No. of Cycl,Time,V5,V6,Lat,Lon,Speed(knots),lat_tenth,lon_tenth,sst
0,SP,14,1982-01-25 18:00:00, BEST,0, 180S, 1541E,25,18.0,154.1,302.80653408054553
1,SP,14,1982-01-26 00:00:00, BEST,0, 191S, 1548E,25,19.1,154.8,302.7529475175556
2,SP,14,1982-01-26 06:00:00, BEST,0, 197S, 1557E,25,19.7,155.7,302.9921579347428
3,SP,14,1982-01-26 12:00:00, BEST,0, 199S, 1567E,30,19.9,156.7,302.75680575009085
5,SP,14,1982-01-27 00:00:00, BEST,0, 204S, 1586E,40,20.4,158.6,302.90041773890397
6,SP,14,1982-01-27 06:00:00, BEST,0, 207S, 1591E,40,20.7,159.1,302.9441443743038
7,SP,14,1982-01-27 12:00:00, BEST,0, 210S, 1595E,40,21.0,159.5,302.932569676698
8,SP,14,1982-01-27 18:00:00, BEST,0, 212S, 1596E,40,21.2,159.6,302.932569676698
9,SP,14,1982-01-28 00:00:00, BEST,0, 215S, 1595E,40,21.5,159.5,302.932569676698
10,SP,14,1982-01-28 06:00:00, BEST,0, 218S, 1594E,40,21.8,159.4,302.932569676698
12,SP,14,1982-01-28 18:00:00, BEST,0, 220S, 1589E,40,22.0,158.9,302.9441443743038
13,SP,14,1982-01-29 00:00:00, BEST,0, 219S, 1581E,40,21.9,158.1,302.87984049871585
14,SP,14,1982-01-29 06:00:00, BEST,0, 217S, 1573E,35,21.7,157.3,302.79495938293974
15,SP,14,1982-01-29 12:00:00, BEST,0, 209S, 1569E,35,20.9,156.9,302.7598065976183
16,SP,14,1982-01-29 18:00:00, BEST,0, 201S, 1567E,40,20.1,156.7,302.75680575009085
17,SP,14,1982-01-30 00:00:00, BEST,0, 199S, 1567E,40,19.9,156.7,302.75680575009085
18,SP,14,1982-01-30 06:00:00, BEST,0, 197S, 1568E,40,19.7,156.8,302.75680575009085
19,SP,14,1982-01-30 12:00:00, BEST,0, 192S, 1567E,40,19.2,156.7,302.75680575009085
20,SP,14,1982-01-30 18:00:00, BEST,0, 186S, 1567E,40,18.6,156.7,302.75680575009085
21,SP,14,1982-01-31 00:00:00, BEST,0, 181S, 1568E,35,18.1,156.8,302.75680575009085
22,SP,14,1982-01-31 06:00:00, BEST,0, 175S, 1571E,35,17.5,157.1,302.7598065976183
23,SP,14,1982-01-31 12:00:00, BEST,0, 172S, 1576E,40,17.2,157.6,302.8399720958513
24,SP,14,1982-01-31 18:00:00, BEST,0, 172S, 1583E,45,17.2,158.3,302.89827427638437
25,SP,14,1982-02-01 00:00:00, BEST,0, 171S, 1590E,45,17.1,159.0,302.9441443743038
26,SP,14,1982-02-01 06:00:00, BEST,0, 172S, 1597E,50,17.2,159.7,302.90899158898236
27,SP,14,1982-02-01 12:00:00, BEST,0, 175S, 1605E,50,17.5,160.5,302.85369025597674
28,SP,14,1982-02-01 18:00:00, BEST,0, 180S, 1612E,55,18.0,161.2,303.0088769423957
29,SP,14,1982-02-02 00:00:00, BEST,0, 186S, 1616E,55,18.6,161.6,303.02559595004857
30,SP,14,1982-02-02 06:00:00, BEST,0, 192S, 1618E,50,19.2,161.8,303.0105917124114
31,SP,14,1982-02-02 12:00:00, BEST,0, 198S, 1620E,55,19.8,162.0,302.96472161449196
32,SP,14,1982-02-02 18:00:00, BEST,0, 205S, 1622E,60,20.5,162.2,302.8944160438491
33,SP,14,1982-02-03 00:00:00, BEST,0, 214S, 1623E,65,21.4,162.3,302.8944160438491
34,SP,14,1982-02-03 06:00:00, BEST,0, 223S, 1623E,65,22.3,162.3,302.8944160438491
35,SP,14,1982-02-03 12:00:00, BEST,0, 231S, 1625E,65,23.1,162.5,302.8485459459297
36,SP,14,1982-02-03 18:00:00, BEST,0, 238S, 1628E,60,23.8,162.8,302.85369025597674
37,SP,14,1982-02-04 00:00:00, BEST,0, 246S, 1632E,50,24.6,163.2,302.8759822661806
38,SP,14,1982-02-04 06:00:00, BEST,0, 254S, 1638E,45,25.4,163.8,302.73537112489487
39,SP,14,1982-02-04 12:00:00, BEST,0, 258S, 1646E,45,25.8,164.6,302.60076167866407
40,SP,14,1982-02-04 18:00:00, BEST,0, 258S, 1655E,40,25.8,165.5,303.09847367571496
41,SP,14,1982-02-05 00:00:00, BEST,0, 258S, 1665E,40,25.8,166.5,302.777382990279
42,SP,14,1982-02-05 06:00:00, BEST,0, 256S, 1675E,35,25.6,167.5,302.73922935743013
43,SP,14,1982-02-05 12:00:00, BEST,0, 252S, 1687E,35,25.2,168.7,302.6522047791344
44,SP,14,1982-02-05 18:00:00, BEST,0, 249S, 1700E,30,24.9,170.0,302.47472608251167
45,SP,14,1982-02-06 00:00:00, BEST,0, 247S, 1711E,30,24.7,171.1,302.06060912372516
46,SP,14,1982-02-06 06:00:00, BEST,0, 247S, 1722E,25,24.7,172.2,301.6503503974739
47,SP,15,1982-01-25 18:00:00, BEST,0, 169S, 1732E,25,16.9,173.2,301.6023368370349
48,SP,15,1982-01-26 00:00:00, BEST,0, 171S, 1732E,25,17.1,173.2,301.6023368370349
49,SP,15,1982-01-26 06:00:00, BEST,0, 173S, 1733E,30,17.3,173.3,301.6023368370349
50,SP,15,1982-01-26 12:00:00, BEST,0, 176S, 1735E,35,17.6,173.5,301.5839030593663
51,SP,15,1982-01-26 18:00:00, BEST,0, 179S, 1737E,40,17.9,173.7,301.55175112157235
52,SP,15,1982-01-27 00:00:00, BEST,0, 182S, 1737E,45,18.2,173.7,301.55175112157235
53,SP,15,1982-01-27 06:00:00, BEST,0, 184S, 1738E,50,18.4,173.8,301.55175112157235
54,SP,15,1982-01-27 12:00:00, BEST,0, 186S, 1741E,55,18.6,174.1,301.52045656878624
55,SP,15,1982-01-27 18:00:00, BEST,0, 187S, 1744E,60,18.7,174.4,301.43257460548267
56,SP,15,1982-01-28 00:00:00, BEST,0, 187S, 1747E,65,18.7,174.7,301.4188564453572
57,SP,15,1982-01-28 06:00:00, BEST,0, 187S, 1750E,70,18.7,175.0,301.4402910705532
58,SP,15,1982-01-28 12:00:00, BEST,0, 187S, 1752E,70,18.7,175.2,301.4600109257335
59,SP,15,1982-01-28 18:00:00, BEST,0, 187S, 1753E,65,18.7,175.3,301.4600109257335
60,SP,15,1982-01-29 00:00:00, BEST,0, 187S, 1755E,65,18.7,175.5,301.44543538060026
61,SP,15,1982-01-29 06:00:00, BEST,0, 188S, 1757E,65,18.8,175.7,301.3837036600358
62,SP,15,1982-01-29 12:00:00, BEST,0, 189S, 1758E,65,18.9,175.8,301.3837036600358
63,SP,15,1982-01-29 18:00:00, BEST,0, 191S, 1759E,65,19.1,175.9,301.31939978444785
64,SP,15,1982-01-30 00:00:00, BEST,0, 193S, 1760E,60,19.3,176.0,301.31939978444785
65,SP,15,1982-01-30 06:00:00, BEST,0, 196S, 1761E,55,19.6,176.1,301.31939978444785
66,SP,15,1982-01-30 12:00:00, BEST,0, 200S, 1763E,55,20.0,176.3,301.24995159881286
67,SP,15,1982-01-30 18:00:00, BEST,0, 208S, 1767E,50,20.8,176.7,301.10076660744875
68,SP,15,1982-01-31 00:00:00, BEST,0, 221S, 1772E,50,22.1,177.2,301.0656138221273
69,SP,15,1982-01-31 06:00:00, BEST,0, 234S, 1778E,45,23.4,177.8,301.12906031270745
70,SP,15,1982-01-31 12:00:00, BEST,0, 245S, 1782E,45,24.5,178.2,301.18350426070526
71,SP,15,1982-01-31 18:00:00, BEST,0, 257S, 1786E,40,25.7,178.6,301.16292702051715
72,SP,15,1982-02-01 00:00:00, BEST,0, 272S, 1787E,40,27.2,178.7,301.08576236981156
73,SP,15,1982-02-01 06:00:00, BEST,0, 287S, 1784E,35,28.7,178.4,301.16292702051715
74,SP,15,1982-02-01 12:00:00, BEST,0, 302S, 1779E,30,30.2,177.9,301.1719295630994
75,SP,15,1982-02-01 18:00:00, BEST,0, 318S, 1770E,25,31.8,177.0,301.07032943967045
76,SP,25,1982-03-31 18:00:00, BEST,0,  32S, 1592E,20,3.2,159.2,302.937713986745
77,SP,25,1982-04-01 00:00:00, BEST,0,  43S, 1584E,20,4.3,158.4,302.90041773890397
78,SP,25,1982-04-01 06:00:00, BEST,0,  53S, 1580E,25,5.3,158.0,302.87984049871585
79,SP,25,1982-04-01 12:00:00, BEST,0,  63S, 1581E,25,6.3,158.1,302.87984049871585
80,SP,25,1982-04-01 18:00:00, BEST,0,  73S, 1582E,30,7.3,158.2,302.89827427638437
81,SP,25,1982-04-02 00:00:00, BEST,0,  83S, 1584E,30,8.3,158.4,302.90041773890397
82,SP,25,1982-04-02 06:00:00, BEST,0,  91S, 1586E,35,9.1,158.6,302.90041773890397
83,SP,25,1982-04-02 12:00:00, BEST,0,  97S, 1586E,35,9.7,158.6,302.90041773890397
84,SP,25,1982-04-02 18:00:00, BEST,0, 101S, 1585E,40,10.1,158.5,302.90041773890397
85,SP,25,1982-04-03 00:00:00, BEST,0, 105S, 1584E,45,10.5,158.4,302.90041773890397
86,SP,25,1982-04-03 06:00:00, BEST,0, 109S, 1582E,50,10.9,158.2,302.89827427638437
87,SP,25,1982-04-03 12:00:00, BEST,0, 113S, 1580E,55,11.3,158.0,302.87984049871585
88,SP,25,1982-04-03 18:00:00, BEST,0, 118S, 1577E,60,11.8,157.7,302.88284134624325
89,SP,25,1982-04-04 00:00:00, BEST,0, 124S, 1574E,65,12.4,157.4,302.8399720958513
90,SP,25,1982-04-04 06:00:00, BEST,0, 133S, 1571E,70,13.3,157.1,302.7598065976183
91,SP,25,1982-04-04 12:00:00, BEST,0, 143S, 1568E,75,14.3,156.8,302.75680575009085
92,SP,25,1982-04-04 18:00:00, BEST,0, 153S, 1566E,80,15.3,156.6,302.77652560527116
93,SP,25,1982-04-05 00:00:00, BEST,0, 165S, 1565E,85,16.5,156.5,302.77652560527116
94,SP,25,1982-04-05 06:00:00, BEST,0, 176S, 1566E,90,17.6,156.6,302.77652560527116
95,SP,25,1982-04-05 12:00:00, BEST,0, 186S, 1569E,95,18.6,156.9,302.7598065976183
