,Basin,No. of Cycl,Time,V5,V6,Lat,Lon,Speed(knots),lat_tenth,lon_tenth,diff,total_1,total_2,sst_1,sst_2_past_1_month
0,SP,14,1982-01-25 18:00:00, BEST,0, 180S, 1541E,25,18.0,154.1,29974 days 18:00:00,719394.0,718674.0,302.80653408054553,302.74351628246933
1,SP,14,1982-01-26 00:00:00, BEST,0, 191S, 1548E,25,19.1,154.8,29975 days 00:00:00,719400.0,718680.0,302.7529475175556,302.74951797752425
2,SP,14,1982-01-26 06:00:00, BEST,0, 197S, 1557E,25,19.7,155.7,29975 days 06:00:00,719406.0,718686.0,302.9921579347428,302.9934440122546
3,SP,14,1982-01-26 12:00:00, BEST,0, 199S, 1567E,30,19.9,156.7,29975 days 12:00:00,719412.0,718692.0,302.75680575009085,302.7945306904358
4,SP,14,1982-01-26 18:00:00, BEST,0, 201S, 1578E,35,20.1,157.8,29975 days 18:00:00,719418.0,718698.0,302.88284134624325,302.756377057587
5,SP,14,1982-01-27 00:00:00, BEST,0, 204S, 1586E,40,20.4,158.6,29976 days 00:00:00,719424.0,718704.0,302.90041773890397,302.71050695966755
6,SP,14,1982-01-27 06:00:00, BEST,0, 207S, 1591E,40,20.7,159.1,29976 days 06:00:00,719430.0,718710.0,302.9441443743038,302.80010369298674
7,SP,14,1982-01-27 12:00:00, BEST,0, 210S, 1595E,40,21.0,159.5,29976 days 12:00:00,719436.0,718716.0,302.932569676698,302.8228243956945
8,SP,14,1982-01-27 18:00:00, BEST,0, 212S, 1596E,40,21.2,159.6,29976 days 18:00:00,719442.0,718722.0,302.932569676698,302.8228243956945
9,SP,14,1982-01-28 00:00:00, BEST,0, 215S, 1595E,40,21.5,159.5,29977 days 00:00:00,719448.0,718728.0,302.932569676698,302.8228243956945
10,SP,14,1982-01-28 06:00:00, BEST,0, 218S, 1594E,40,21.8,159.4,29977 days 06:00:00,719454.0,718734.0,302.932569676698,302.8228243956945
11,SP,14,1982-01-28 12:00:00, BEST,0, 220S, 1592E,40,22.0,159.2,29977 days 12:00:00,719460.0,718740.0,302.937713986745,302.8288260907494
12,SP,14,1982-01-28 18:00:00, BEST,0, 220S, 1589E,40,22.0,158.9,29977 days 18:00:00,719466.0,718746.0,302.9441443743038,302.80010369298674
13,SP,14,1982-01-29 00:00:00, BEST,0, 219S, 1581E,40,21.9,158.1,29978 days 00:00:00,719472.0,718752.0,302.87984049871585,302.7203668872577
14,SP,14,1982-01-29 06:00:00, BEST,0, 217S, 1573E,35,21.7,157.3,29978 days 06:00:00,719478.0,718758.0,302.79495938293974,302.7769542977751
15,SP,14,1982-01-29 12:00:00, BEST,0, 209S, 1569E,35,20.9,156.9,29978 days 12:00:00,719484.0,718764.0,302.7598065976183,302.77781168278295
16,SP,14,1982-01-29 18:00:00, BEST,0, 201S, 1567E,40,20.1,156.7,29978 days 18:00:00,719490.0,718770.0,302.75680575009085,302.7945306904358
17,SP,14,1982-01-30 00:00:00, BEST,0, 199S, 1567E,40,19.9,156.7,29979 days 00:00:00,719496.0,718776.0,302.75680575009085,302.7945306904358
18,SP,14,1982-01-30 06:00:00, BEST,0, 197S, 1568E,40,19.7,156.8,29979 days 06:00:00,719502.0,718782.0,302.75680575009085,302.7945306904358
19,SP,14,1982-01-30 12:00:00, BEST,0, 192S, 1567E,40,19.2,156.7,29979 days 12:00:00,719508.0,718788.0,302.75680575009085,302.7945306904358
20,SP,14,1982-01-30 18:00:00, BEST,0, 186S, 1567E,40,18.6,156.7,29979 days 18:00:00,719514.0,718794.0,302.75680575009085,302.7945306904358
21,SP,14,1982-01-31 00:00:00, BEST,0, 181S, 1568E,35,18.1,156.8,29980 days 00:00:00,719520.0,718800.0,302.75680575009085,302.7945306904358
22,SP,14,1982-01-31 06:00:00, BEST,0, 175S, 1571E,35,17.5,157.1,29980 days 06:00:00,719526.0,718806.0,302.7598065976183,302.77781168278295
23,SP,14,1982-01-31 12:00:00, BEST,0, 172S, 1576E,40,17.2,157.6,29980 days 12:00:00,719532.0,718812.0,302.8399720958513,302.76709437018496
24,SP,14,1982-01-31 18:00:00, BEST,0, 172S, 1583E,45,17.2,158.3,29980 days 18:00:00,719538.0,718818.0,302.89827427638437,302.7173660397302
25,SP,14,1982-02-01 00:00:00, BEST,0, 171S, 1590E,45,17.1,159.0,29981 days 00:00:00,719544.0,718824.0,302.9441443743038,302.80010369298674
26,SP,14,1982-02-01 06:00:00, BEST,0, 172S, 1597E,50,17.2,159.7,29981 days 06:00:00,719550.0,718830.0,302.90899158898236,302.77009521771237
27,SP,14,1982-02-01 12:00:00, BEST,0, 175S, 1605E,50,17.5,160.5,29981 days 12:00:00,719556.0,718836.0,302.85369025597674,302.5707532033897
28,SP,14,1982-02-01 18:00:00, BEST,0, 180S, 1612E,55,18.0,161.2,29981 days 18:00:00,719562.0,718842.0,303.0088769423957,302.6899297194794
29,SP,14,1982-02-02 00:00:00, BEST,0, 186S, 1616E,55,18.6,161.6,29982 days 00:00:00,719568.0,718848.0,303.02559595004857,302.6899297194794
30,SP,14,1982-02-02 06:00:00, BEST,0, 192S, 1618E,50,19.2,161.8,29982 days 06:00:00,719574.0,718854.0,303.0105917124114,302.6479178540952
31,SP,14,1982-02-02 12:00:00, BEST,0, 198S, 1620E,55,19.8,162.0,29982 days 12:00:00,719580.0,718860.0,302.96472161449196,302.57761228345237
32,SP,14,1982-02-02 18:00:00, BEST,0, 205S, 1622E,60,20.5,162.2,29982 days 18:00:00,719586.0,718866.0,302.8944160438491,302.47901300755086
33,SP,14,1982-02-03 00:00:00, BEST,0, 214S, 1623E,65,21.4,162.3,29983 days 00:00:00,719592.0,718872.0,302.8944160438491,302.47901300755086
34,SP,14,1982-02-03 06:00:00, BEST,0, 223S, 1623E,65,22.3,162.3,29983 days 06:00:00,719598.0,718878.0,302.8944160438491,302.47901300755086
35,SP,14,1982-02-03 12:00:00, BEST,0, 231S, 1625E,65,23.1,162.5,29983 days 12:00:00,719604.0,718884.0,302.8485459459297,302.3958466617904
36,SP,14,1982-02-03 18:00:00, BEST,0, 238S, 1628E,60,23.8,162.8,29983 days 18:00:00,719610.0,718890.0,302.85369025597674,302.3804137316493
37,SP,14,1982-02-04 00:00:00, BEST,0, 246S, 1632E,50,24.6,163.2,29984 days 00:00:00,719616.0,718896.0,302.8759822661806,302.3889875817277
38,SP,14,1982-02-04 06:00:00, BEST,0, 254S, 1638E,45,25.4,163.8,29984 days 06:00:00,719622.0,718902.0,302.73537112489487,302.27109714314975
39,SP,14,1982-02-04 12:00:00, BEST,0, 258S, 1646E,45,25.8,164.6,29984 days 12:00:00,719628.0,718908.0,302.60076167866407,302.2329435103009
40,SP,14,1982-02-04 18:00:00, BEST,0, 258S, 1655E,40,25.8,165.5,29984 days 18:00:00,719634.0,718914.0,303.09847367571496,302.7748108352555
41,SP,14,1982-02-05 00:00:00, BEST,0, 258S, 1665E,40,25.8,166.5,29985 days 00:00:00,719640.0,718920.0,302.777382990279,302.4751547750156
42,SP,14,1982-02-05 06:00:00, BEST,0, 256S, 1675E,35,25.6,167.5,29985 days 06:00:00,719646.0,718926.0,302.73922935743013,302.6479178540952
43,SP,14,1982-02-05 12:00:00, BEST,0, 252S, 1687E,35,25.2,168.7,29985 days 12:00:00,719652.0,718932.0,302.6522047791344,302.65177608663055
44,SP,14,1982-02-05 18:00:00, BEST,0, 249S, 1700E,30,24.9,170.0,29985 days 18:00:00,719658.0,718938.0,302.47472608251167,302.6946453370225
45,SP,14,1982-02-06 00:00:00, BEST,0, 247S, 1711E,30,24.7,171.1,29986 days 00:00:00,719664.0,718944.0,302.06060912372516,302.4850147026057
